step,role_update_step,leader_pre,leader_pre_followers,top_followers,current_leader,alt_leader_id,largest_alt_leader_followers,pu_share,tracked_targets,targets_following_preleader,targets_in_pu,targets_in_rep_elsewhere,mean_gamma_selected_rep,mean_rep_to_preleader,mean_estimated_reward_pu,mean_threshold,mean_step1_margin,min_step1_margin,share_positive_step1_margin,mean_positive_step1_margin,mean_highest_rep_is_preleader,num_role_updates_since_perturb_end
6309,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6310,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6311,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6312,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6313,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6314,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6315,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6316,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6317,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6318,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6319,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6320,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6321,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6322,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6323,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6324,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6325,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6326,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6327,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6328,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6329,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6330,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6331,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6332,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6333,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6334,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6335,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6336,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6337,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6338,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6339,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6340,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6341,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
6342,0,15,49,49,15,-1,0,0.02,49,49,0,0,0.0,0.0,0.7022217645150562,0.7022217645150562,-0.7022217645150562,-0.8178425685658677,0.0,nan,0.0,0
